food_name,calories,protein_g,carbs_g,fat_g,category,diet_type,sugar_g,sodium_mg,suitable_for,serving_size
Oatmeal,150,5,27,3,breakfast,vegan,1,5,general;diabetic;weight_loss,1 cup (240ml cooked)
Boiled Eggs,155,13,1,11,breakfast,vegetarian,0,124,general;muscle_gain,2 whole eggs
Whole Wheat Bread,120,4,22,2,breakfast,vegan,2,150,general;weight_loss,2 slices (60g)
Greek Yogurt,100,17,6,0,breakfast,vegetarian,4,60,general;muscle_gain;weight_loss,1 cup (200g)
Banana,89,1,23,0,breakfast,vegan,12,1,general;muscle_gain,1 medium banana (118g)
Apple,95,0,25,0,snack,vegan,19,2,general;diabetic;weight_loss,1 medium apple (182g)
Orange,62,1,15,0,snack,vegan,12,0,general;diabetic;weight_loss,1 medium orange (131g)
Mixed Nuts,180,5,6,16,snack,vegan,1,0,general;muscle_gain,1 small handful (30g)
Peanut Butter,190,8,6,16,snack,vegan,3,5,general;muscle_gain,2 tablespoons (32g)
Cottage Cheese,110,14,3,5,snack,vegetarian,3,360,general;muscle_gain;weight_loss,half cup (113g)
Brown Rice,215,5,45,2,lunch,vegan,0,5,general;weight_loss,1 cup cooked (195g)
Grilled Chicken Breast,165,31,0,4,lunch,non-veg,0,74,general;muscle_gain;diabetic,1 medium piece (100g)
Lentil Soup,230,18,40,1,lunch,vegan,2,400,general;vegan;diabetic,1.5 cups (360ml)
Chickpea Salad,270,15,45,5,lunch,vegan,5,300,general;vegan;weight_loss,1 large bowl (250g)
Paneer Curry,280,18,10,18,lunch,vegetarian,3,400,general;vegetarian;muscle_gain,1 cup curry (200g)
Tofu Stir Fry,200,15,12,10,lunch,vegan,3,300,general;vegan;muscle_gain,1 cup (180g)
Tuna Salad,180,25,4,8,lunch,non-veg,1,300,general;muscle_gain;weight_loss;diabetic,1 bowl (150g)
Quinoa Bowl,220,8,39,4,lunch,vegan,2,10,general;vegan;diabetic,1 cup cooked (185g)
Dal Rice,300,12,55,4,lunch,vegan,2,200,general;vegan,1 plate (1 cup dal + 1 cup rice)
Egg Fried Rice,280,10,40,8,lunch,vegetarian,1,400,general;vegetarian,1 plate (250g)
Grilled Salmon,208,28,0,10,dinner,non-veg,0,59,general;muscle_gain;diabetic;weight_loss,1 fillet (100g)
Vegetable Curry,180,5,28,6,dinner,vegan,4,350,general;vegan;weight_loss,1 cup curry (200g)
Chicken Tikka,240,30,5,11,dinner,non-veg,2,400,general;muscle_gain;diabetic,6 pieces (150g)
Palak Paneer,260,15,12,18,dinner,vegetarian,3,350,general;vegetarian,1 cup (200g)
Pasta Primavera,320,12,58,6,dinner,vegetarian,5,200,general;vegetarian,1 plate (250g)
Baked Potato,160,4,37,0,dinner,vegan,2,10,general;vegan;weight_loss,1 medium potato (150g)
Fish Curry,220,25,8,9,dinner,non-veg,2,400,general;diabetic;muscle_gain,1 cup curry (200g)
Mushroom Soup,120,4,15,5,dinner,vegan,4,500,general;vegan;weight_loss;diabetic,1 bowl (300ml)
Rajma Curry,230,13,40,3,dinner,vegan,2,300,general;vegan,1 cup (200g)
Mixed Vegetable Sabzi,150,4,22,5,dinner,vegan,4,200,general;vegan;weight_loss;diabetic,1 cup (150g)
Protein Shake,200,30,10,3,snack,vegetarian,5,100,general;muscle_gain,1 scoop in 300ml water
Sweet Potato,130,2,30,0,snack,vegan,6,55,general;vegan;weight_loss,1 medium (130g)
Sprouts Salad,120,9,18,1,snack,vegan,2,20,general;vegan;diabetic;weight_loss,1 bowl (100g)
Idli with Sambar,200,7,38,2,breakfast,vegan,1,300,general;vegan;weight_loss,3 idlis + 1 cup sambar
Poha,180,4,35,4,breakfast,vegan,2,200,general;vegan;weight_loss,1 plate (150g)
Upma,200,5,35,5,breakfast,vegan,1,300,general;vegan,1 plate (150g)
Dosa with Chutney,220,5,38,6,breakfast,vegan,1,350,general;vegan,2 dosas + 2 tbsp chutney
Milk,150,8,12,8,breakfast,vegetarian,12,100,general;vegetarian;muscle_gain,1 glass (250ml)
Almonds,164,6,6,14,snack,vegan,1,0,general;vegan;diabetic,20 almonds (28g)
Boiled Chickpeas,180,10,30,3,snack,vegan,3,10,general;vegan;diabetic;weight_loss,1 cup (164g)
